Ae	巳
Ah	丁
Ai	寸
Aj	巴
Ak	キ
Ak	ヰ
Ak	扌
Ak	七
An	己
Ao	已
Bc	臣
Bd	尢
Bd	尤
Bj	癶
Bj	ス
Bj	コ
Bj	又
Bj	マ
Bk	下
Bk	丅
Bn	足
Bo	{眉上}
Bo	尸
Bu	古
Ci	隹
Ck	酉
Ck	冂
Ck	{雋下}
Ck	{冂丶}
Cm	夭
Cn	〢
Cn	丨
Cn	丰
Cn	〣
Co	雨
Cu	西
Cu	襾
Cv	贝
Cy	见
Da	亥
Dd	囗
Di	十
Dj	之
Dk	刀
Dn	辶
Ds	白
Du	讠
Dw	夫
Eg	㇉
Eg	𡿨
Eg	乚
Eh	川
Ei	生
Ej	來
Ek	風
El	亻
Em	亡
Em	{贏頭}
En	豕
Eo	飛
Ep	𡗗
Eu	夊
Fi	木
Fk	一
Gd	𠂤
Gh	龶
Gi	土
Gi	耂
Gm	鬼
Gm	{卑上}
Gn	世
Gp	示
Gu	士
Gu	{穀頭}
Gy	心
Hb	宀
Hc	至
Hd	臼
Hr	{祭上}
Hr	月
Hr	⺆
Hr	勹
Hv	穴
Ib	匕
Ic	⺍
Ic	氵
Ic	{龜下}
Ic	黽
Ic	{兴上}
Ie	叀
Ie	{專上}
Ie	車
Ij	{卬左}
Ij	{乐上}
Ij	卯
Ij	{齊右}
Ij	{卯左}
Ir	方
Iv	不
Ja	早
Jc	亍
Jd	{龍右}
Jd	{乍下}
Jd	卜
Jd	{爲下}
Je	山
Jk	日
Jr	{馬上}
Jr	馬
Jv	{于下}
Jw	曰
Jx	{五下}
Jx	韋
Ka	厂
Kc	匚
Kc	{亞下}
Kc	{亞中}
Kc	了
Kc	{畏下}
Kd	尚
Kd	龸
Ke	饣
Kf	厶
Kg	丄
Kg	上
Kj	小
Kk	{虎头}
Kk	虎
Ks	米
Kv	子
La	冎
La	咼
Lc	女
Le	而
Ll	乀
Ll	丶
Lt	面
Lu	立
Lv	{高頭}
Lv	高
Lv	{京頭}
Lv	{亮頭}
Lw	亠
Lw	冊
Lx	辛
Mc	自
Mc	灬
Md	车
Me	王
Mf	且
Mo	貝
Mr	見
Ms	火
Mt	甫
Mv	目
Na	弓
Nc	{纟上}
Nc	斤
Nc	纟
Nc	⺁
Nd	乌
Ne	田
Nf	甲
Ng	衤
Nn	{鸟上}
Nn	鸟
Ns	干
Nt	里
Nv	欠
Od	豸
Od	{鼠下}
Oi	口
Oo	〇
Os	长
Ox	舌
Pb	由
Pc	糸
Pc	糹
Pd	电
Pe	鱼
Pf	业
Pg	冖
Pr	兀
Ps	艮
Pu	忄
Pw	廴
Px	申
Qe	缶
Qh	几
Qi	习
Qj	矢
Qk	戸
Qk	户
Ql	食
Qm	殳
Qn	身
Qo	丷
Qo	丬
Qo	䒑
Qo	リ
Qp	戶
Qr	{荒下}
Qr	儿
Qu	鹵
Ra	長
Rd	僉
Re	革
Rh	合
Ri	鬥
Rj	亦
Rk	巾
Rm	門
Rn	乃
Rp	丌
Rs	{囟框}
Rs	{向框}
Rs	向
Ru	{互中}
Ru	{母框}
Ru	彑
Ru	母
Ru	镸
Rw	人
Ry	走
Ry	髟
Sh	{左上}
Si	也
Si	乜
Sj	金
Sk	龷
Sk	卝
Sk	未
Sk	艹
Sk	{冓上}
Sk	卅
Sk	卌
Sk	卄
Sm	末
Sn	{两撇}
Sn	{癶右}
Sn	彡
So	入
Sp	丑
Te	耳
Tj	大
Tk	止
Tl	⺧
Tl	牛
Tm	鳥
Tm	{鳥上}
Tn	魚
To	烏
To	{烏上}
To	龰
Tu	钅
Ua	丂
Ue	夕
Ug	羊
Ui	言
Uk	瓦
Uo	幺
Us	八
Us	{介下}
Ut	丆
Ut	石
Uv	马
Uw	三
Ve	禺
Vh	黑
Vi	㔾
Vi	乁
Vi	乛
Vi	亅
Vi	𠄎
Vi	乙
Vj	{微上}
Vj	彳
Vk	爪
Vn	禾
Vo	骨
Vs	瓜
Vu	水
Vv	虫
Wh	九
Wh	𧘇
Wi	非
Wj	气
Wk	齒
Wk	丿
Wl	力
Wn	片
Wo	竹
Wo	𠂉
Wo	{⺮右}
Wp	爿
Wu	皮
Xd	刂
Xe	毛
Xi	其
Xj	肀
Xj	{反彐}
Xj	彐
Xk	门
Xl	犭
Xl	犬
Xn	文
Xo	卩
Xs	凵
Xs	屮
Xs	丱
Xs	丩
Xu	舟
Yb	疒
Yc	麻
Yd	戊
Ye	辰
Yg	龵
Yg	手
Yp	工
Yq	弋
Yr	⺀
Yr	二
Ys	戈
Yv	鹿
Yv	{鹿上}
Yw	广
Yz	巜
Yz	巛
Zi	乂
Zi	𠂭
Zj	予
Zk	壬
Zl	阝
Zm	皿
Zn	罒
Zo	千
Zp	牙
Zu	用
