⺀	(⺀,Yr,,部首補充)
⺁	(⺁,Cj,,部首補充)
⺂	(乛,Vi,,部首補充)
⺃	(乚,Kv,,部首補充)
⺄	(乛,Vi,,GBK)
⺅	(亻,Ee,,部首補充)
⺆	(⺆,Hb,,部首補充)
⺇	(几,Dj,,部首補充)
⺈	(冖,Pi,,部首補充)
⺉	(刂,Gd,,部首補充)
⺊	(卜,To,,部首補充)
⺋	(㔾,Vi,,部首補充)
⺌	(小,Vi,,部首補充)
⺍	(⺍,Is,,部首補充)
⺎	(兀,Pw,,部首補充)
⺏	(八儿,UaNe,,部首補充)
⺐	(尢,Ky,,部首補充)
⺑	(八几,UaDj,,部首補充)
⺒	(巳,Ni,,部首補充)
⺓	(幺,Ia,,部首補充)
⺔	({互中}一,GuFi,,部首補充)
⺕	(彐,Xx,,部首補充)
⺖	(忄,Hx,,部首補充)
⺗	(小丶,ViLd,,部首補充)
⺘	(扌,Cs,,部首補充)
⺙	(夊,Eu,,部首補充)
⺛	(匚儿,JfNe,,部首補充)
⺜	(冂二,PkYr,,部首補充)
⺝	(月,Wy,,部首補充)
⺞	(卜夕,ToUi,,部首補充)
⺟	(母,Gu,,部首補充)
⺠	(巳七,NiWi,,部首補充)
⺡	(氵,Is,,部首補充)
⺢	(水,Hs,,部首補充)
⺣	(灬,To,,部首補充)
⺤	(爪,Au,,部首補充)
⺥	(爪,Au,,部首補充)
⺦	(丬,Dq,,部首補充)
⺧	(⺧,Tn,,部首補充)
⺨	(犭,Qq,,部首補充)
⺩	(王,Jw,,部首補充)
⺪	(乛止,ViNz,,部首補充)
⺫	(罒,Kw,,部首補充)
⺬	(示,Di,,部首補充)
⺭	(示,Di,,部首補充)
⺮	(竹,Az,,部首補充)
⺯	(糹,Ps,,部首補充)
⺰	(纟,Nj,,部首補充)
⺱	(冂乂,PkCi,,部首補充)
⺲	(罒,Kw,,部首補充)
⺳	(冖八,PiUa,,部首補充)
⺴	(冖儿,PiNe,,部首補充)
⺵	(冂〢,PkUs,,部首補充)
⺶	(羊,Dy,,GBK)
⺷	(羊,Dy,,部首補充)
⺸	(艹干,ScJg,,部首補充)
⺹	(耂,Gt,,部首補充)
⺺	(肀,Xx,,部首補充)
⺻	(肀一,XxFi,,GBK)
⺼	(月,Wy,,部首補充)
⺽	(臼,Hj,,部首補充)
⺾	(艹,Sc,,部首補充)
⺿	(艹,Sc,,部首補充)
⻀	(卝,Sc,,部首補充)
⻁	(虎,Mh,,部首補充)
⻂	(衤,Hy,,部首補充)
⻃	(西,Hi,,部首補充)
